HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
16673, 40.0454, -9.45333, 2, 16.1999, 0.0225552, 5.78, 0.52, 21.5, 35.2, -0.021
17051, 40.6117, -50.8078, 2, 21.3741, 0.265837, 5.41, 0.56, 17.2, 68.3, -0.039
17390, 41.6838, -21.6472, 2, 20.1837, 0.171314, 6.49, 0.38, 45.1, 125.9, 0.025
17925, 43.1192, -12.7728, 2, 22.506, 0.50692, 6.04, 0.87, 10.4, 119.6, -0.259
18692, 44.8954, -25.285, 2, 20.2596, 0.20156, 5.71, 0.4, 32.3, 117, 0.02
18928, 45.8913, 28.2761, 2, 19.9781, 0.244439, 6.36, 0, 50, 23.5, -0.155
19545, 46.9412, -27.8161, 2, 20.6714, 0.239199, 6.19, 0.16, 57.6, 137.9, 0.026
20395, 49.1371, -9.14778, 2, 22.1206, 0.256871, 6.14, 0.4, 34.7, 48.7, 0.02
22211, 53.7046, 6.41806, 3, 16.4095, 0.0341494, 6.49, 0.63, 134.6, 2589.1, -0.079
22701, 62.4371, 86.6294, 2, 14.3296, 0.010375, 5.86, 0.37, 40.9, 206.3, 0.026
22905, 55.0558, -15.2264, 3, 17.8548, 0.0693296, 6.33, 0.88, 197.6, 1257.8, -0.268
24164, 59.1525, 71.8133, 2, 21.0704, 0.27685, 6.34, 0.3, 60.1, 141, 0.034
24357, 58.2762, 17.3319, 2, 20.5282, 0.423191, 5.97, 0.34, 41.4, 80.5, 0.031
26913, 63.8587, 6.20111, 3, 18.8651, 0.0924995, 6.93, 0.7, 20.9, 158.2, -0.124
29169, 69.1283, 23.3553, 2, 21.3222, 0.550523, 6.02, 0.38, 44.2, 37.4, 0.025
30495, 71.8942, -16.9383, 2, 17.0729, 0.0376382, 5.51, 0.63, 13.3, 68.2, -0.079
31362, 74.0492, 24.61, 2, 21.3375, 0.379237, 6.37, 0.33, 43.2, 138.2, 0.032
32008, 74.9579, -10.2667, 2, 11.829, 0.00291731, 5.38, 0.8, 54.7, 1225.9, -0.2
35386, 80.8042, -26.7061, 2, 16.5117, 0.0238844, 6.49, 0.5, 52.4, 247.7, -0.012
40745, 90.0783, -12.8953, 2, 14.1075, 0.00782487, 6.22, 0.36, 59.9, 39.7, 0.028
41700, 91.1233, -45.0408, 3, 16.4724, 0.0379079, 6.35, 0.52, 26.7, 427.6, -0.021
45947, 99.52, 73.6897, 2, 20.9143, 0.327155, 6.24, 0.38, 35.6, 66.9, 0.025
56963, 110.337, 45.2147, 2, 21.0526, 0.407541, 5.77, 0.32, 34.5, 24.8, 0.033
58805, 101.745, -87.0219, 2, 15.3939, 0.0117791, 6.47, 0.42, 39.1, 36.8, 0.015
62613, 119.16, 80.2633, 3, 22.0204, 0.510808, 6.56, 0.73, 17, 3.4, -0.146
63332, 117.796, 54.1322, 2, 22.3065, 0.610817, 6.02, 0.46, 30, 28.5, 0.003
67767, 122.608, 25.5394, 2, 23.0985, 0.33326, 5.73, 0.81, 42, 297.4, -0.208
72905, 129.796, 65.0186, 2, 16.742, 0.0441199, 5.64, 0.62, 14.3, 128.4, -0.073
74243, 131.052, 36.9236, 2, 22.401, 0.543617, 6.33, 0, 65.3, 212.3, -0.155
75332, 132.63, 33.3119, 2, 23.8716, 0.388073, 6.25, 0.49, 28.7, 366.3, -0.008
77084, 134.918, -19.2058, 2, 15.9193, 0.0284635, 6.18, 0.46, 39.6, 116.7, 0.003
78661, 137.46, 11.5608, 2, 21.0158, 0.246581, 6.48, 0.34, 37.7, 24.8, 0.031
83951, 145.682, 35.0775, 2, 21.257, 0.295628, 6.14, 0.36, 53.3, 69.6, 0.028
87141, 151.162, 53.8994, 2, 21.1936, 0.443933, 5.74, 0.48, 47.3, 105.6, -0.004
89565, 154.993, -9.06861, 2, 22.3375, 0.448697, 6.32, 0.33, 53.3, 40.3, 0.032
90839, 157.658, 55.9881, 2, 21.9536, 0.490636, 4.84, 0.52, 12.9, 18.4, -0.021
91480, 158.782, 57.0839, 3, 13.7817, 0.0103371, 5.16, 0.34, 26.5, 77.7, 0.031
91858, 159.068, -10.5847, 2, 13.6056, 0.0116814, 6.57, 0.29, 57.6, 91.2, 0.035
92588, 160.351, -1.73889, 3, 17.3275, 0.0530236, 6.26, 0.88, 34.4, 140, -0.268
100518, 173.545, 11.0308, 2, 12.2174, 0.00519642, 6.55, 0.18, 113.6, 565.5, 0.029
100563, 173.61, 3.06389, 2, 17.6291, 0.0450836, 5.77, 0.46, 26.6, 134, 0.003
102634, 177.256, 0.3225, 2, 22.3735, 0.548761, 6.15, 0.52, 34.2, 13.9, -0.021
107192, 183.857, 87.6944, 2, 14.0022, 0.00751929, 6.28, 0.35, 46.6, 237.9, 0.03
108954, 187.713, 53.0642, 2, 21.831, 0.481836, 6.21, 0.54, 21.9, 11.9, -0.03
111164, 191.807, 11.9536, 2, 12.2394, 0.00589332, 6.07, 0.12, 74.6, 281.5, 0.015
111456, 192.157, 60.3214, 2, 15.2764, 0.0206306, 5.85, 0.46, 24.2, 256.8, 0.003
113022, 195.159, 18.3778, 3, 15.8283, 0.0253817, 6.2, 0.42, 40.8, 86.9, 0.015
113337, 195.462, 63.6122, 2, 15.2467, 0.0197753, 6, 0.41, 37.4, 161.8, 0.018
120602, 207.605, 5.48722, 3, 19.1297, 0.13061, 6.01, 0.9, 123.6, 605.4, -0.285
122064, 209.379, 61.4964, 3, 20.4482, 0.212225, 6.37, 0, 10.1, 0.9, -0.155
125111, 214.098, 39.7528, 2, 21.6216, 0.395809, 6.38, 0.36, 48.3, 137.2, 0.028
126141, 215.777, 25.345, 2, 14.8049, 0.0187207, 6.22, 0.37, 35.7, 49, 0.026
126943, 216.866, 41.0183, 2, 14.4288, 0.0156666, 6.63, 0.37, 76.5, 270.4, 0.026
133002, 222.562, 82.5122, 2, 17.7848, 0.0450189, 5.64, 0.68, 43.3, 189.5, -0.111
134044, 226.657, 36.4478, 2, 20.3938, 0.152557, 6.35, 0.52, 29.5, 17.8, -0.021
138290, 232.738, 8.57472, 2, 14.4091, 0.0167001, 6.57, 0.37, 50.7, 292.4, 0.026
139389, 234.22, 29.9872, 2, 15.2658, 0.0225351, 6.52, 0, 36, 90, -0.155
139798, 234.572, 46.8075, 2, 20.8534, 0.300949, 5.75, 0.36, 35.7, 17.8, 0.028
140232, 235.477, 18.4633, 2, 13.8136, 0.0107418, 5.81, 0.2, 53.2, 181, 0.032
152598, 253.251, 31.7017, 2, 12.7164, 0.0050707, 5.32, 0.29, 30, 55.1, 0.035
167858, 274.271, 1.00194, 2, 14.0182, 0.00750168, 6.63, 0.31, 62.6, 115.5, 0.034
173494, 281.168, 23.5861, 2, 15.4104, 0.0197399, 6.31, 0.4, 44.4, 48.2, 0.02
182475, 291.251, -4.8875, 2, 14.2388, 0.0106002, 6.52, 0.33, 100.8, 155.3, 0.032
188512, 298.827, 6.41333, 2, 17.8737, 0.0589199, 3.71, 0.86, 13.7, 36.3, -0.25
189296, 299.092, 56.685, 2, 11.8319, 0.00382019, 6.12, 0, 85.7, 70.1, -0.155
191096, 301.344, 56.3372, 2, 15.1059, 0.0171026, 6.21, 0.43, 52.2, 190.9, 0.012
196755, 309.78, 10.085, 3, 17.5253, 0.044908, 5.05, 0.72, 30.1, 43.7, -0.139
199960, 315.14, -4.72639, 2, 18.399, 0.0718765, 6.21, 0.63, 26.5, 5.7, -0.079
200163, 315.748, -38.6233, 2, 21.328, 0.254764, 5.3, 0.41, 35.3, 136.2, 0.018
204577, 322.502, -19.1622, 2, 21.2396, 0.550069, 6.57, 0.41, 133.2, 894, 0.018
206043, 324.737, 20.2514, 2, 20.8192, 0.288263, 5.85, 0.32, 39.1, 37.4, 0.033
206860, 326.149, 14.7758, 2, 22.4769, 0.609939, 5.94, 0.59, 18.4, 176.7, -0.055
208703, 329.56, -5.42306, 2, 14.4308, 0.0103651, 6.33, 0.37, 55.6, 288.4, 0.026
